2860|1|10208|"A08AA"
2880|1|10227|"A08AA"
327|1|779|"A08AB"
133|1|926|"A08AX"
635|1|514|"A08AX"
1280|1|9133|"A08AX"
1403|1|9266|"A08AX"
1641|1|9385|"A08AX"
2139|2|9285|"A08AX"
2470|1|898|"A08AX"
2478|1|9979|"A08AX"
2508|1|10000|"A08AX"
2510|1|10001|"A08AX"
2512|1|10002|"A08AX"
2535|1|10014|"A08AX"
2634|1|10041|"A08AX"
2684|1|10081|"A08AX"
2719|1|10102|"A08AX"
315|1|791|"A09AA"
372|1|118|"A09AA"
743|1|427|"A09AA"
745|1|426|"A09AA"
2451|1|9964|"A09AA"
2862|1|10210|"A09AA"
2881|1|10228|"A09AA"
2921|1|10256|"A09AA"
2883|1|10228|"A09AB"
2995|1|10320|"A09AB"
515|1|605|"A10AA"
517|1|604|"A10AA"
2713|1|10095|"A10AA"
2764|1|10135|"A10AA"
513|1|607|"A10AC"
1164|1|9339|"A10AC"
2712|1|10093|"A10AC"
512|1|608|"A10AE"
2436|1|9949|"A10AE"
2714|1|10097|"A10AE"
405|1|705|"A10BA"
2089|1|9620|"A10BA"
2091|1|9621|"A10BA"
616|1|532|"A10BB"
617|1|531|"A10BB"
624|1|527|"A10BB"
897|1|304|"A10BB"
2095|1|9625|"A10BB"
2097|1|9627|"A10BB"
2099|1|9628|"A10BB"
2101|1|9629|"A10BB"
2103|1|9630|"A10BB"
2140|1|9622|"A10BB"
2141|1|9623|"A10BB"
179|1|894|"A10BD"
414|1|695|"A10BD"
623|1|528|"A10BD"
1352|1|9209|"A10BD"
1365|1|9225|"A10BD"
1383|1|9245|"A10BD"
1394|1|9257|"A10BD"
2711|1|10092|"A10BD"
2806|1|10167|"A10BD"
667|1|14|"A10BF"
180|1|893|"A10BG"
278|1|821|"A10BG"
1351|1|9208|"A10BH"
1384|1|9246|"A10BH"
2502|1|9996|"A10BH"
2944|1|10278|"A10BH"
200|1|881|"A10BX"
352|1|747|"A10BX"
1333|1|9190|"A10BX"
2840|1|10191|"A10BX"
1371|2|9232|"A10XA"
1755|3|855|"A10XA"
2142|2|9249|"A10XA"
2443|2|9957|"A10XA"
2551|2|941|"A10XA"
2567|3|517|"A10XA"
2578|2|9226|"A10XA"
2586|3|782|"A10XA"
2627|3|220|"A10XA"
151|1|146|"A11AA"
482|1|223|"A11AA"
870|1|329|"A11AA"
1048|1|735|"A11AA"
1156|1|9331|"A11AA"
1336|1|9193|"A11AA"
1427|1|9293|"A11AA"
2488|2|9985|"A11AA"
2499|1|9994|"A11AA"
2514|1|338|"A11AA"
2688|2|10083|"A11AA"
457|1|145|"A11AB"
695|1|158|"A11AB"
869|1|1037|"A11AB"
1147|1|9318|"A11AB"
2519|1|9558|"A11AB"
2520|1|9560|"A11AB"
35|1|1045|"A11CA"
456|1|144|"A11CA"
222|1|20|"A11CB"
997|1|1034|"A11CB"
1745|1|9489|"A11CB"
2066|1|25|"A11CB"
2958|1|10288|"A11CB"
116|1|209|"A11CC"
699|1|87|"A11CC"
2763|1|9495|"A11CC"
129|1|930|"A11DA"
652|1|1046|"A11DA"
874|1|327|"A11DB"
1172|1|9347|"A11DB"
2440|1|9953|"A11DB"
866|1|331|"A11EA"
865|1|332|"A11EX"
2080|1|9615|"A11EX"
2939|1|10273|"A11EX"
1176|1|1049|"A11GA"
653|1|1035|"A11GB"
924|1|1043|"A11GB"
1152|1|9327|"A11GB"
2773|1|10143|"A11GB"
2991|1|10316|"A11GB"
269|1|9093|"A11HA"
1177|1|1050|"A11HA"
2843|1|10193|"A11HA"
2900|1|10240|"A11JA"
36|1|1044|"A11JB"
1047|1|737|"A11JC"
2671|1|10075|"A11JC"
2896|1|10238|"A11JC"
2904|1|10242|"A11JC"
171|1|205|"A12AA"
282|1|816|"A12AA"
750|1|204|"A12AA"
2437|1|9950|"A12AA"
2450|1|9963|"A12AA"
2582|2|9356|"A12AA"
449|1|206|"A12AX"
566|1|564|"A12AX"
638|1|511|"A12AX"
1295|1|9148|"A12AX"
1296|1|9149|"A12AX"
1426|1|9292|"A12AX"
2083|1|9616|"A12AX"
2449|1|9962|"A12AX"
1378|1|9240|"A12BA"
2916|1|10252|"A12BA"
2726|1|10105|"A12CA"
877|1|323|"A12CB"
1173|1|9348|"A12CB"
1341|1|9198|"A12CB"
1034|1|936|"A12CC"
1210|1|5067|"A12CC"
1289|1|9142|"A12CC"
2895|1|10238|"A12CC"
2522|1|10005|"A12CE"
1141|1|9325|"A12CX"
2547|2|9528|"A12CX"
625|1|525|"A13AA"
626|1|524|"A13AA"
2081|2|1063|"A13AA"
2744|1|10122|"A13AA"
2143|1|9664|"A14AA"
2144|1|9665|"A14AA"
2145|1|9666|"A14AA"
2915|1|10251|"A14AA"
852|1|343|"A14AB"
810|1|376|"A15A1"
2017|1|9576|"A15A1"
2435|2|25|"A15A1"
2549|2|9537|"A15A1"
2677|1|10078|"A15A1"
474|1|644|"A15A2"
2019|1|9577|"A15A2"
472|1|646|"A16AA"
484|1|637|"A16AA"
1146|1|9317|"A16AA"
1169|1|9344|"A16AA"
1190|1|1067|"A16AA"
2146|1|540|"A16AA"
2147|1|9667|"A16AA"
2736|1|10114|"A16AA"
1366|1|9226|"A16AX"
1951|1|9525|"A16AX"
2516|1|9340|"A16AX"
286|1|814|"A01AB"
575|1|557|"A01AB"
606|1|539|"A01AB"
609|1|536|"A01AB"
993|3|683|"A01AB"
1438|3|324|"A01AB"
1439|2|412|"A01AB"
1806|2|556|"A01AB"
2492|2|9987|"A01AB"
2759|1|721|"A01AB"
2897|1|10239|"A01AB"
2955|1|10287|"A01AB"
1181|1|1056|"B01AA"
2148|1|9668|"B01AA"
2149|1|9669|"B01AA"
2150|1|9671|"B01AA"
120|1|941|"B01AB"
305|1|800|"B01AB"
364|1|739|"B01AB"
747|1|424|"B01AB"
857|1|339|"B01AB"
1021|1|553|"B01AB"
1910|0|9531|"B01AB"
2151|1|9672|"B01AB"
2152|1|9673|"B01AB"
2153|1|9675|"B01AB"
2154|1|9676|"B01AB"
80|1|978|"B01AC"
86|1|970|"B01AC"
522|1|599|"B01AC"
783|1|400|"B01AC"
907|1|294|"B01AC"
1056|2|51|"B01AC"
1300|1|9154|"B01AC"
1359|1|9217|"B01AC"
1615|1|9359|"B01AC"
1912|0|9552|"B01AC"
2155|1|9677|"B01AC"
2156|1|9678|"B01AC"
2157|1|9679|"B01AC"
2158|1|9680|"B01AC"
2159|1|9681|"B01AC"
2160|1|9682|"B01AC"
2161|1|9684|"B01AC"
2162|1|9685|"B01AC"
2462|1|9969|"B01AC"
2574|2|50|"B01AC"
2802|1|10163|"B01AC"
717|1|452|"B01AD"
2163|1|9686|"B01AD"
2164|1|9687|"B01AD"
2165|1|9688|"B01AD"
2166|1|9689|"B01AD"
2167|1|9690|"B01AD"
2168|1|9691|"B01AD"
2169|1|9692|"B01AD"
2170|1|9693|"B01AD"
2171|1|9694|"B01AD"
2172|1|9695|"B01AD"
1389|1|9252|"B01AE"
2173|1|9696|"B01AE"
2174|1|9697|"B01AE"
2175|1|9698|"B01AE"
2176|1|9699|"B01AE"
2177|1|9700|"B01AE"
1322|1|9177|"B01AX"
1392|1|9255|"B01AX"
2178|1|9701|"B01AX"
2179|1|9702|"B01AX"
56|1|101|"B02AA"
386|1|71|"B02AA"
1274|1|9127|"B02AA"
2180|1|9703|"B02AA"
2676|1|10077|"B02AA"
2181|1|9704|"B02AB"
2182|1|9705|"B02AB"
2183|1|9706|"B02AB"
1179|1|1052|"B02BA"
2184|1|9708|"B02BA"
2185|1|9709|"B02BA"
2186|1|9711|"B02BB"
2187|1|9712|"B02BC"
2188|1|9713|"B02BC"
2189|1|9714|"B02BC"
2190|1|9715|"B02BC"
2191|1|9716|"B02BC"
2192|1|9718|"B02BC"
2193|1|9719|"B02BC"
2194|2|9711|"B02BC"
2195|1|9720|"B02BD"
2196|1|9721|"B02BD"
2197|1|9722|"B02BD"
2198|1|9723|"B02BD"
710|1|457|"B02BX"
2199|1|9724|"B02BX"
2200|1|9725|"B02BX"
2201|1|9726|"B02BX"
552|1|573|"B03AA"
2133|1|573|"B03AB"
551|1|574|"B03AD"
545|1|580|"B03AE"
546|1|579|"B03AE"
547|1|578|"B03AE"
548|1|577|"B03AE"
549|1|576|"B03AE"
550|1|575|"B03AE"
1163|1|9338|"B03AE"
1251|1|9103|"B03AE"
1425|1|9291|"B03AE"
561|1|1040|"B03BA"
1170|1|9347|"B03BA"
1281|1|9134|"B03BA"
2983|1|10313|"B03BA"
872|1|54|"B03BB"
1304|1|9158|"B03BB"
2042|1|9583|"B03BB"
2739|1|10117|"B03BB"
738|1|433|"B03XA"
1327|1|9184|"B03XA"
2857|1|10205|"B03XA"
254|1|841|"B05AA"
395|1|80|"B05AA"
630|1|519|"B05AA"
2204|1|9728|"B05AA"
2205|1|9729|"B05AA"
2206|1|9730|"B05AA"
51|1|996|"B05BA"
820|1|366|"B05BA"
826|1|368|"B05BA"
827|1|367|"B05BA"
2207|1|9731|"B05BB"
1448|1|686|"B05BC"
2441|1|9954|"B05BC"
2465|1|9970|"B05BC"
989|2|762|"B05CA"
2209|2|252|"B05CA"
2210|2|536|"B05CA"
2211|1|9733|"B05CA"
2212|1|9734|"B05CA"
2213|1|9735|"B05CA"
2214|1|9736|"B05CA"
2215|1|9737|"B05CA"
2216|1|9738|"B05CB"
1057|1|686|"B05CX"
1252|1|9104|"B05CX"
878|1|322|"B05XA"
879|1|321|"B05XA"
880|1|320|"B05XA"
881|1|319|"B05XA"
882|1|318|"B05XA"
883|1|317|"B05XA"
885|1|316|"B05XA"
886|1|315|"B05XA"
887|1|314|"B05XA"
888|1|313|"B05XA"
889|1|312|"B05XA"
891|1|310|"B05XA"
1158|1|9333|"B05XA"
2446|1|9959|"B05XA"
2651|1|10058|"B05XA"
605|1|540|"B05XB"
2217|1|9739|"B05XB"
1204|1|3071|"B05XX"
2778|1|10148|"B05XX"
2218|1|9740|"B06AA"
2219|1|9741|"B06AA"
2220|1|9742|"B06AA"
2221|1|9743|"B06AA"
2222|1|9744|"B06AA"
2223|1|9746|"B06AA"
2224|1|9748|"B06AB"
795|1|389|"C01AA"
378|1|720|"C01BB"
1450|1|657|"C01BB"
236|1|859|"C01BC"
24|1|103|"C01BD"
392|1|77|"C01CA"
708|1|459|"C01CA"
773|1|407|"C01CA"
776|1|404|"C01CA"
1241|1|9092|"C01CA"
1824|2|420|"C01CA"
2813|1|10173|"C01CA"
340|1|763|"C01DA"
998|1|618|"C01DA"
1587|2|93|"C01EA"
38|1|1007|"C01EB"
1372|1|9233|"C01EB"
2669|1|10074|"C01EB"
2226|1|9750|"C02AA"
2227|1|9751|"C02AA"
2228|1|9753|"C02AA"
2229|1|9754|"C02AA"
2230|1|9755|"C02AA"
403|1|707|"C02AB"
1286|1|9139|"C02AB"
190|1|886|"C02AC"
956|1|290|"C02AC"
2231|1|9756|"C02AC"
2232|1|9757|"C02AC"
2233|1|9758|"C02AC"
2234|1|9759|"C02BA"
2235|1|9760|"C02BB"
245|1|851|"C02CA"
2236|1|9761|"C02CA"
2237|1|9762|"C02CA"
2238|1|9763|"C02CA"
2570|2|411|"C02CA"
2239|1|9764|"C02CC"
2240|1|9765|"C02CC"
2241|1|9766|"C02CC"
2242|1|9767|"C02CC"
2243|1|9768|"C02CC"
2244|1|9769|"C02CC"
2245|1|9770|"C02CC"
2246|1|9771|"C02DA"
2247|1|9772|"C02DB"
2248|1|9773|"C02DB"
2249|1|9774|"C02DB"
2250|1|9776|"C02DB"
1696|1|9440|"C02DC"
2251|1|9777|"C02DD"
2252|1|9778|"C02DG"
2253|1|9779|"C02KA"
2254|1|9780|"C02KB"
2255|1|9781|"C02KC"
2256|1|9782|"C02KD"
2257|1|9783|"C02KX"
2258|1|9784|"C02KX"
2259|1|9785|"C02KX"
574|1|559|"C03AA"
2123|1|9656|"C03AA"
523|1|598|"C03BA"
1452|2|921|"C03BX"
194|1|194|"C03CA"
633|1|516|"C03CA"
2844|1|10194|"C03CA"
1028|1|921|"C03CX"
2762|2|9265|"C03CX"
733|1|438|"C03DA"
1377|1|9239|"C03DA"
2865|1|10213|"C03DB"
65|1|100|"C03EA"
732|1|439|"C03EA"
2654|1|10061|"C03EA"
497|1|620|"C04AA"
2124|1|9657|"C04AA"
2260|1|9786|"C04AA"
2261|1|9787|"C04AA"
2125|1|9658|"C04AB"
2126|1|9659|"C04AB"
2262|1|9788|"C04AC"
2263|1|9789|"C04AC"
2264|1|9790|"C04AC"
297|1|807|"C04AD"
2127|1|9660|"C04AD"
2265|1|9791|"C04AD"
347|1|753|"C04AE"
792|1|391|"C04AE"
2128|1|9661|"C04AE"
2266|1|9792|"C04AF"
111|1|1033|"C04AX"
359|1|743|"C04AX"
711|1|135|"C04AX"
712|1|172|"C04AX"
1453|2|526|"C04AX"
2267|1|9793|"C04AX"
2268|1|9794|"C04AX"
2269|1|9795|"C04AX"
2270|1|9796|"C04AX"
2271|1|9797|"C04AX"
2272|1|9798|"C04AX"
2273|1|9799|"C04AX"
2274|1|9800|"C04AX"
2275|1|9801|"C04AX"
2276|1|9802|"C04AX"
2277|1|9803|"C04AX"
2278|1|9804|"C04AX"
2279|1|9805|"C04AX"
2690|2|10084|"C04AX"
243|1|853|"C05AA"
1058|3|148|"C05AA"
1059|1|504|"C05AA"
1455|2|852|"C05AA"
1456|2|997|"C05AA"
1867|2|854|"C05AA"
1964|1|710|"C05AA"
2064|2|440|"C05AA"
2280|1|560|"C05AA"
1115|2|657|"C05AD"
1269|3|9121|"C05AD"
1458|2|9098|"C05AD"
2282|1|9807|"C05AD"
2283|1|9808|"C05AD"
2886|1|10231|"C05AD"
47|1|1002|"C05AX"
594|1|551|"C05AX"
703|1|464|"C05AX"
927|1|281|"C05AX"
1020|2|1001|"C05AX"
2673|1|10076|"C05AX"
366|1|734|"C05BA"
1459|2|553|"C05BA"
2284|1|9809|"C05BA"
2285|1|9810|"C05BA"
257|1|838|"C05BB"
2286|1|9811|"C05BB"
777|1|403|"C05BX"
2085|1|9617|"C05BX"
2873|1|10221|"C05BX"
34|1|1009|"C05CA"
176|1|897|"C05CA"
568|1|563|"C05CA"
784|1|399|"C05CA"
785|1|398|"C05CA"
2287|1|9812|"C05CA"
2588|1|10021|"C05CA"
393|1|78|"C05CX"
595|1|550|"C05CX"
693|1|469|"C05CX"
700|1|467|"C05CX"
1460|1|1001|"C05CX"
1606|1|250|"C05CX"
2281|2|1002|"C05CX"
2674|1|10076|"C05CX"
2721|1|10103|"C05CX"
235|1|860|"C07AA"
365|1|738|"C07AA"
2288|1|9813|"C07AA"
2289|1|9814|"C07AA"
2290|1|9815|"C07AA"
2291|2|971|"C07AA"
2292|1|9817|"C07AA"
2293|1|9818|"C07AA"
2294|1|9819|"C07AA"
2295|1|9820|"C07AA"
2296|1|9821|"C07AA"
2297|1|9822|"C07AA"
2298|1|9823|"C07AA"
2299|1|9824|"C07AA"
351|1|748|"C07AB"
380|1|716|"C07AB"
639|1|121|"C07AB"
780|1|169|"C07AB"
2300|1|9825|"C07AB"
2301|1|9826|"C07AB"
2302|1|157|"C07AB"
2303|1|9827|"C07AB"
2304|1|9828|"C07AB"
2305|1|9829|"C07AB"
2306|1|9830|"C07AB"
2307|1|9831|"C07AB"
13|1|232|"C07AG"
2308|1|9832|"C07AG"
610|1|170|"C07BB"
3002|1|10325|"C07BB"
234|1|861|"C07CA"
908|1|293|"C07CA"
640|1|122|"C07CB"
342|1|760|"C08CA"
344|1|757|"C08CA"
345|1|755|"C08CA"
448|1|105|"C08CA"
480|1|640|"C08CA"
492|1|629|"C08CA"
677|1|480|"C08CA"
1214|1|7067|"C08CA"
2309|1|9833|"C08CA"
2310|1|9834|"C08CA"
2311|1|9835|"C08CA"
2312|1|9836|"C08CA"
2313|1|9837|"C08CA"
2314|1|9838|"C08CA"
2315|1|9839|"C08CA"
2316|1|9840|"C08CA"
2317|1|9841|"C08CX"
2581|2|262|"C08CX"
3|1|1031|"C08DA"
2318|1|9842|"C08DA"
791|1|392|"C08DB"
2319|1|9843|"C08EA"
2320|1|9844|"C08EA"
2321|1|9845|"C08EX"
2322|1|9846|"C08EX"
205|1|877|"C09AA"
209|1|873|"C09AA"
289|1|811|"C09AA"
516|1|218|"C09AA"
518|1|603|"C09AA"
636|1|513|"C09AA"
749|1|422|"C09AA"
938|1|259|"C09AA"
1311|1|9166|"C09AA"
1408|1|9273|"C09AA"
2323|1|9847|"C09AA"
2324|1|9848|"C09AA"
2325|1|9849|"C09AA"
2326|1|9850|"C09AA"
2327|1|9851|"C09AA"
2328|1|9852|"C09AA"
208|1|874|"C09BA"
291|1|810|"C09BA"
444|1|668|"C09BA"
748|1|423|"C09BA"
834|1|219|"C09BA"
2032|1|9580|"C09BA"
2715|1|10098|"C09BA"
2|1|1032|"C09BB"
483|1|106|"C09BB"
1290|1|9143|"C09BB"
2542|1|10017|"C09BB"
2628|1|10035|"C09BB"
2788|1|10158|"C09BB"
2848|1|10198|"C09BB"
2879|1|10226|"C09BB"
8|1|1026|"C09CA"
103|1|954|"C09CA"
330|1|775|"C09CA"
435|1|677|"C09CA"
505|1|613|"C09CA"
1314|1|9169|"C09CA"
1391|1|9254|"C09CA"
2329|1|9853|"C09CA"
6|1|1027|"C09DA"
23|1|213|"C09DA"
102|1|955|"C09DA"
434|1|678|"C09DA"
502|1|614|"C09DA"
1316|1|9171|"C09DA"
1330|1|9187|"C09DA"
1350|1|9207|"C09DA"
1855|1|9514|"C09DA"
