1642|"AB7"|10530
1710|"AB7"|10615
1952|"AB7"|10884
106|"AB3"|136
434|"AB3"|4481
621|"AB3"|8725
920|"AB3"|9241
1188|"AB3"|9694
1546|"AB3"|10414
1632|"AB3"|10517
1732|"AB3"|10641
1946|"AB3"|10878
1951|"AB3"|10883
1953|"AB3"|10885
2027|"AB3"|10968
2028|"AB3"|10969
3519|"AB3"|10415
5196|"AB3"|12299
269|"AB9"|346
306|"AB9"|392
322|"AB9"|413
403|"AB9"|2511
426|"AB9"|2547
577|"AB9"|8648
1020|"AB9"|9407
1330|"AB9"|9990
1401|"AB9"|10130
1615|"AB9"|10500
1769|"AB9"|10693
1939|"AB9"|10869
1944|"AB9"|10876
1996|"AB9"|10934
2034|"AB9"|10977
4216|"AB9"|12063
4217|"AB9"|12064
4218|"AB9"|12065
5204|"AB9"|12304
5205|"AB9"|12305
5208|"AB9"|12307
5211|"AB9"|12308
5216|"AB9"|12310
5218|"AB9"|12311
5222|"AB9"|12313
5227|"AB9"|12317
5233|"AB9"|12320
5244|"AB9"|12327
5401|"AB9"|12483
40|"AB11"|52
41|"AB11"|53
42|"AB11"|54
43|"AB11"|55
203|"AB11"|265
231|"AB11"|300
232|"AB11"|301
247|"AB11"|318
329|"AB11"|423
330|"AB11"|425
363|"AB11"|472
1888|"AB11"|10817
1963|"AB11"|10898
2039|"AB11"|10982
3478|"AB11"|8887
4219|"AB11"|12066
4428|"AB11"|12208
5215|"AB11"|12310
5217|"AB11"|12311
5219|"AB11"|12312
5221|"AB11"|12313
5226|"AB11"|12317
5235|"AB11"|12323
5238|"AB11"|12324
5240|"AB11"|12325
5243|"AB11"|12327
5545|"AB11"|376
5687|"AB11"|6532
5788|"AB11"|11283
353|"AB2"|459
2024|"AB2"|10964
2025|"AB2"|10965
2026|"AB2"|10967
3545|"AB2"|10966
5179|"AB2"|12291
5181|"AB2"|12292
5183|"AB2"|12293
5185|"AB2"|12294
5187|"AB2"|12295
5189|"AB2"|12296
5191|"AB2"|12297
5193|"AB2"|12298
5625|"AB2"|12635
343|"AB8"|447
584|"AB8"|8662
1479|"AB8"|10304
1793|"AB8"|10718
2033|"AB8"|10976
4215|"AB8"|12062
229|"AB12"|295
1219|"AB12"|9756
1636|"AB12"|10522
2040|"AB12"|10983
4476|"AB12"|12246
37|"AB1"|48
